,OR,CI_Lower,CI_Upper,P-Value
Q('CEA')[T.1.87],0.0003330500691513529,5.092582107958513e-206,2.1781160560647384e+198,0.9730588035410955
Q('CEA')[T.1.9],0.00024319808893907453,6.841848751713089e-61,8.644638694886228e+52,0.9003200084724311
Q('CEA')[T.1.92],0.010895711460565982,4.406326298193309e-46,2.694229165020905e+41,0.9293581831318465
Q('CEA')[T.1.95],26654233381.350117,0.0,inf,0.9997370979072014
Q('CEA')[T.1.97],4522186077827.451,0.0,inf,0.9999587534938673
Q('CEA')[T.2],1.0384715225943157e-06,0.0,inf,0.9919437259144592
Q('CEA')[T.2.06],0.40634847651572403,3.9424443179139964e-12,41882413815.29936,0.9445098306899959
Q('CEA')[T.2.078],0.030334593003374006,6.31685882484051e-13,1456716950.9341977,0.7805878725789586
Q('CEA')[T.2.08],217534.00974578148,0.0,inf,0.9770611492859722
Q('CEA')[T.2.09],0.00024319808893872246,6.841848750893648e-61,8.644638695896528e+52,0.9003200084725039
Q('CEA')[T.2.11],0.10693060122103289,1.9849720387445794e-11,576035997.198389,0.8449656107331072
Q('CEA')[T.2.12],2627299.1235885746,0.0,inf,0.9907832331186781
Q('CEA')[T.2.14],9.197997232075707e-06,0.0,inf,0.9870534059825695
Q('CEA')[T.2.15],0.0003263023435323069,7.056824186370805e-110,1.5087979604240444e+102,0.9484380860715417
Q('CEA')[T.2.16],33.92524279056813,0.06825168235435677,16862.91178030613,0.26592096652563846
Q('CEA')[T.2.2],4.607067839505119e-08,0.0,inf,0.9990621785604665
Q('CEA')[T.2.21],73202.102577917,2.5881572810894576e-226,2.070410427132985e+235,0.9669991609513492
Q('CEA')[T.2.22],0.4063484765154008,3.942444317472964e-12,41882413819.918,0.9445098306901897
Q('CEA')[T.2.27],2.1192991247991637e-06,0.0,inf,0.9901344282341538
Q('CEA')[T.2.29],0.0004487363991532825,3.311158924882364e-105,6.081386019011718e+97,0.9482653595999769
Q('CEA')[T.2.31],0.015957517224276144,6.088869797505696e-58,4.182095601180136e+53,0.9493244919817397
Q('CEA')[T.2.35],4277719.8724994715,0.0,inf,0.9923575495619165
